Gene	PDX080	PDX085	PDX090	PDX089	PDX092	PDX323	PDX641	PDX644
SLC39A10	2911	1611	2209	2390	3394	2541	2342	2541
SLC39A11	1919	1400	1030	1239	1124	933	1013	753
SLC39A12	0	0	0	0	0	0	0	2
SLC39A12-AS1	0	0	0	0	0	0	0	0
SLC39A13	157	113	109	134	165	146	266	162
SLC39A14	2507	2122	1589	1598	2037	1490	1975	1765
SLC39A2	0	0	0	2	0	1	0	3
SLC39A3	439	243	239	254	305	175	394	288
SLC39A4	154	60	93	117	114	93	67	77
SLC39A5	1	0	1	5	0	4	5	1
SLC39A6	73434	60944	37288	43539	58476	39943	72982	53150
SLC39A7	1141	620	644	767	932	750	901	851
SLC39A8	126	99	282	291	464	321	323	343
SLC39A9	2929	2195	1509	1592	2064	1628	1868	1773
SLC3A1	4	3	12	10	10	10	6	4
SLC3A2	1558	1111	752	986	1099	852	1242	1173
SLC40A1	88	18	53	112	150	167	139	198
SLC41A1	237	136	269	280	404	339	662	572
SLC41A2	149	161	300	323	513	367	328	399
SLC41A3	454	341	411	510	767	694	1021	662
SLC43A1	10	20	106	130	195	144	266	242
SLC43A2	302	194	317	405	527	453	585	548
SLC43A3	65	87	70	56	41	36	53	52
SLC44A1	3131	4458	2661	2668	3158	2723	1847	1939
SLC44A2	1249	1407	841	847	977	738	856	735
SLC44A3	37	55	50	58	74	54	45	42
SLC44A4	40	12	17	25	44	35	103	87
SLC44A5	13	12	7	4	8	3	6	12
SLC45A1	0	3	7	10	14	12	33	20
SLC45A2	41	48	36	48	47	37	39	18
SLC45A3	21	9	19	16	17	14	15	14
SLC45A4	502	384	571	722	794	659	681	550
SLC46A1	800	643	535	570	793	678	847	682
SLC46A2	1	0	4	5	0	6	2	4
SLC46A3	109	139	77	79	113	133	85	61
SLC47A1	0	0	0	0	2	0	2	0
SLC47A2	1	0	0	0	0	1	0	2
SLC48A1	312	264	176	189	209	175	300	194
SLC4A1	0	2	5	4	3	4	3	1
SLC4A10	50	40	79	73	122	61	499	282
SLC4A11	48	45	21	28	22	14	9	7
SLC4A1AP	233	229	172	204	237	204	222	203
SLC4A2	2891	2381	2388	2965	3196	2381	2417	2063
SLC4A3	700	483	686	842	835	675	997	769
SLC4A4	6	10	6	3	2	2	10	4
SLC4A5	73	108	332	364	405	410	158	118
SLC4A7	1283	690	1180	1535	2061	1646	1979	2099
SLC4A8	636	1102	192	159	291	239	1070	1149
SLC4A9	1	1	6	6	6	5	3	2
SLC50A1	756	551	271	284	358	278	301	312
SLC51A	13	1	10	19	11	11	1	1
SLC51B	1	0	1	4	7	6	4	4
SLC52A1	1	0	0	1	1	1	0	3
SLC52A2	852	538	1041	1281	1412	966	1019	817
SLC52A3	239	262	117	123	120	82	69	44
SLC5A1	2	2	0	1	4	1	1	2
SLC5A10	3	3	1	0	2	2	1	0
SLC5A11	110	21	5	4	11	10	9	2
SLC5A12	3	0	2	3	0	0	0	0
SLC5A2	12	3	5	7	5	7	2	1
SLC5A3	1942	1514	1508	1989	1872	1497	1382	1293
SLC5A4	2	1	3	2	4	2	0	2
SLC5A5	0	4	4	2	0	2	4	5
SLC5A6	928	755	548	691	609	534	562	399
SLC5A7	34	10	43	46	43	34	19	6
SLC5A8	1154	595	1341	1557	1281	1549	754	641
SLC5A9	1	2	1	2	5	5	6	3
SLC6A1	1	0	6	1	5	1	3	3
SLC6A1-AS1	0	0	0	0	0	0	0	0
SLC6A10P	4	0	0	2	0	0	1	1
SLC6A11	183	183	102	75	77	63	79	98
SLC6A12	44	54	136	214	187	260	155	113
SLC6A13	28	19	21	20	23	13	14	11
SLC6A14	0	0	1	0	0	1	0	4
SLC6A15	0	0	0	0	0	0	3	0
SLC6A16	5	3	32	48	41	38	33	26
SLC6A17	7	2	36	33	54	48	34	52
SLC6A18	0	0	0	0	0	0	0	0
SLC6A19	0	0	1	2	0	1	2	3
SLC6A2	0	0	0	4	1	0	0	0
SLC6A20	8	2	9	11	16	6	5	5
SLC6A3	1	0	0	1	1	0	1	1
SLC6A4	2	2	1	2	6	7	10	6
SLC6A5	0	0	0	0	1	1	0	0
SLC6A6	651	594	1175	1323	1836	1378	1866	1544
SLC6A7	1	0	0	4	7	3	6	0
SLC6A8	225	170	150	204	263	208	228	191
SLC6A9	53	35	117	140	144	96	52	51
SLC7A1	553	424	621	703	836	657	567	639
SLC7A10	0	0	1	1	0	0	1	0
SLC7A11	857	310	181	318	291	215	242	371
SLC7A11-AS1	0	0	0	0	1	0	0	0
SLC7A13	50	28	3	6	10	8	10	3
SLC7A14	0	1	0	0	1	0	0	0
SLC7A2	23105	18045	10349	11431	16181	11208	16341	10949
SLC7A3	0	0	0	0	0	0	0	0
SLC7A4	0	0	0	1	0	0	1	0
SLC7A5	575	236	578	683	1005	721	1086	1222
SLC7A5P1	0	0	0	0	0	0	0	0
SLC7A5P2	30	47	91	94	61	76	65	39
SLC7A6	472	259	392	410	443	378	462	413
SLC7A6OS	154	162	152	121	151	117	168	128
SLC7A7	5	2	5	3	8	5	13	10
SLC7A8	1988	1593	505	887	954	947	809	760
SLC7A9	16	9	16	25	10	12	9	4
SLC8A1	25	20	30	22	48	51	102	185
SLC8A1-AS1	1	0	0	0	1	0	1	1
SLC8A2	530	458	466	547	572	511	622	483
SLC8A3	0	0	1	0	0	0	0	2
SLC8B1	98	71	81	89	96	92	84	51
SLC9A1	203	202	222	368	300	270	213	169
SLC9A2	257	92	191	206	162	149	168	136
SLC9A3	2	1	2	5	5	4	2	0
SLC9A3R1	7048	5072	8371	10130	12757	10330	13578	11415
SLC9A3R2	116	48	95	119	100	99	205	183
SLC9A4	1	0	2	1	0	0	1	0
SLC9A5	7	7	8	10	3	8	2	3
SLC9A6	88	75	113	99	125	107	144	146
SLC9A7	686	369	586	666	1002	770	1205	934
SLC9A7P1	28	6	15	28	18	18	29	27
SLC9A8	523	485	451	581	587	517	593	350
SLC9A9	3	3	8	2	7	6	11	21
SLC9A9-AS1	0	0	0	0	0	0	0	0
SLC9B1	92	116	72	63	78	74	68	56
SLC9B2	50	37	78	73	117	109	228	196
SLC9C1	2	13	6	1	6	1	2	4
SLC9C2	1	2	2	2	1	1	0	0
SLCO1A2	1	2	5	8	18	12	42	61
SLCO1B1	0	1	0	0	2	0	3	0
SLCO1B3	0	0	0	0	0	0	0	1
SLCO1B7	0	2	3	0	0	0	1	1
SLCO1C1	0	0	0	0	0	0	0	1
SLCO2A1	4	4	4	3	1	2	7	5
SLCO2B1	0	0	2	1	1	1	1	1
SLCO3A1	189	73	187	213	297	221	154	180
SLCO4A1	10	7	16	16	20	17	33	27
SLCO4A1-AS1	4	2	0	3	0	0	1	0
SLCO4C1	30	39	916	975	803	719	164	171
SLCO5A1	19	36	117	144	227	164	371	369
SLCO6A1	3	1	6	6	4	1	1	0
SLED1	0	0	1	1	1	2	0	1
SLF1	1026	1043	833	721	780	575	596	583
SLF2	1579	1504	2094	2138	2364	1988	1740	1569
SLFN11	0	2	4	7	4	2	8	1
SLFN12	7	6	3	3	7	5	0	1
SLFN12L	0	0	0	0	0	0	0	0
SLFN13	307	351	375	397	256	218	182	178
SLFN14	0	0	0	0	1	0	0	0
SLFN5	51	95	168	168	253	208	155	168
SLFNL1	2	2	4	5	6	7	4	2
SLFNL1-AS1	35	37	86	96	50	61	40	27
SLIRP	252	119	147	132	161	118	157	123
SLIT1	18	55	4	4	8	1	15	12
SLIT1-AS1	0	0	0	0	0	0	0	0
SLIT2	26	25	29	24	32	26	55	83
SLIT2-IT1	0	0	0	0	0	0	0	0
SLIT3	47	96	61	44	53	40	42	66
SLITRK1	1	2	0	0	0	1	0	0
SLITRK2	0	0	1	0	1	1	0	1
SLITRK3	0	0	0	0	0	0	1	0
SLITRK4	241	403	767	832	971	574	1176	1315
SLITRK5	156	41	94	159	99	71	42	49
SLITRK6	31	8	7	9	30	12	34	11
SLK	1794	1758	1823	1969	2493	2022	1762	1663
SLMAP	1347	1314	1062	1194	1368	1112	1004	893
SLMO2-ATP5E	0	0	0	0	0	0	0	0
SLN	5	3	6	5	4	4	4	4
SLPI	5	2	9	5	7	5	14	15
SLTM	2813	3012	2559	2569	2518	2293	2488	2209
SLU7	1917	1944	1620	1794	2234	1911	2150	2038
SLURP1	0	0	0	0	1	0	0	0
SLX1A	0	0	0	0	0	0	0	0
SLX1B-SULT1A4	2	0	0	1	0	0	0	0
SLX4	408	464	598	678	637	515	437	441
SLX4IP	437	364	398	449	472	401	353	311
SMA4	0	0	0	0	0	0	0	0
SMA5	1	0	0	0	0	0	0	0
SMAD1	1133	1564	1982	1657	1872	1536	1806	1732
SMAD2	6751	6894	6104	6514	8069	6161	6297	5886
SMAD3	615	654	354	594	570	588	742	664
SMAD4	3418	3405	3056	3412	4090	3206	4198	3876
SMAD5	2386	2063	1835	1871	2408	1768	2078	2363
SMAD5-AS1	2	0	1	1	0	1	1	2
SMAD6	8	5	4	16	13	17	34	23
SMAD7	442	439	499	504	321	287	385	323
SMAD9	31	33	101	129	122	111	73	71
SMAGP	93	145	134	157	200	172	150	131
SMAP1	602	539	570	610	778	591	627	590
SMAP2	463	415	298	362	426	405	467	459
SMARCA1	2318	1968	933	1016	1103	924	983	1065
SMARCA2	1928	2665	1868	2092	2155	1894	2156	2189
SMARCA4	2053	2002	2845	3265	2736	2404	1883	1678
SMARCA5	1465	2389	3035	2878	3309	2230	2708	2867
SMARCAD1	2567	2312	2442	2775	3437	2595	2621	2438
SMARCAL1	805	537	601	816	814	660	669	523
SMARCB1	690	540	751	925	888	749	854	781
SMARCC1	3124	2901	3280	4161	3952	3205	3177	2708
SMARCC2	2393	2265	2392	2942	2752	2559	3085	2633
SMARCD1	862	759	1122	1242	1412	1152	1441	1211
SMARCD2	3883	1756	1707	2002	2648	2423	2590	1921
SMARCD3	568	266	469	531	1104	872	2517	1952
SMARCE1	3478	3247	3425	3471	4287	3400	4111	4038
SMC1A	2232	2475	2550	2546	2337	1896	2228	1965
SMC1B	206	283	128	126	101	86	78	53
SMC2	1974	2495	1732	1504	1411	964	1039	1175
SMC3	2530	3690	3484	3278	3379	2538	2873	2655
SMC4	2333	3174	2209	1547	1445	1066	907	1156
SMC5	1744	1934	1975	1975	1968	1700	1520	1367
SMC5-AS1	134	108	143	144	134	118	74	64
SMC6	307	301	381	309	347	260	196	235
SMCHD1	2718	2594	2260	2547	3069	2403	2560	2332
SMCO1	1	0	0	1	0	0	0	0
SMCO2	0	1	5	3	1	3	0	1
SMCO3	69	139	53	45	142	110	192	202
SMCO4	9	2	30	37	24	28	25	21
SMCP	0	0	0	0	0	0	0	0
SMCR5	0	2	9	7	10	4	3	4
SMCR8	1296	1093	895	1006	1112	938	1118	924
SMDT1	243	246	218	272	295	281	154	147
SMG1	6075	5344	5695	7275	6692	5954	4306	3795
SMG1P1	71	69	82	92	94	70	55	40
SMG1P2	59	90	107	127	116	104	58	39
SMG1P3	254	207	296	333	283	332	247	181
SMG1P5	120	101	84	129	121	124	91	53
SMG1P7	29	10	29	26	24	26	17	13
SMG5	2216	1562	1845	2325	2188	1918	2102	1685
SMG6	642	562	639	811	701	636	649	517
SMG7	1520	1703	2404	3021	2677	2278	1086	1245
SMG7-AS1	13	18	20	31	24	19	16	19
SMG8	1049	936	865	837	1173	841	1221	1101
SMG9	277	278	284	351	274	293	289	235
SMIM1	94	26	49	60	70	53	46	41
SMIM10	0	0	0	0	0	0	0	0
SMIM10L1	1602	1508	1110	1044	1253	1024	853	893
SMIM10L2A	0	0	0	0	0	0	0	0
SMIM10L2B	17	8	6	4	5	7	13	12
SMIM11A	357	292	273	288	428	314	408	347
SMIM12	489	396	576	565	689	591	657	610
SMIM13	513	596	639	629	825	626	651	793
SMIM14	1257	1100	442	656	605	421	673	792
SMIM15	960	866	975	973	1179	915	879	976
SMIM17	24	32	62	70	69	59	47	47
SMIM18	0	0	0	1	10	3	19	25
SMIM19	1072	960	573	581	788	570	642	621
SMIM2-IT1	0	0	0	0	0	0	0	0
SMIM20	267	267	200	218	329	251	330	340
SMIM21	0	0	0	0	0	0	0	0
SMIM22	148	154	75	104	107	70	196	163
SMIM24	0	0	1	0	1	0	0	4
SMIM3	50	67	9	11	23	19	20	34
SMIM4	85	59	59	56	83	71	87	80
SMIM5	7	3	8	22	28	23	21	12
SMIM6	0	0	1	1	0	2	3	4
SMIM7	1541	1363	1091	1129	1214	943	1249	1140
SMIM8	118	225	169	183	234	156	163	170
SMIM9	0	0	0	1	2	1	2	0
SMKR1	28	17	15	24	49	37	114	98
SMLR1	0	0	0	0	0	0	0	1
SMN1	0	0	2	5	2	3	2	3
SMN2	9	4	7	3	8	5	8	7
SMNDC1	537	663	945	1056	1003	831	538	568
SMO	45	27	51	54	71	43	90	65
SMOC1	7	4	0	1	4	0	25	33
SMOC2	115	163	1577	1501	2068	1456	1484	1985
SMOX	35	16	73	90	151	197	215	225
SMPD1	37	37	46	55	91	60	108	71
SMPD2	7	0	0	0	1	0	0	0
SMPD3	78	69	59	94	98	61	178	162
SMPD4	538	476	551	590	533	473	388	324
SMPDL3A	222	221	167	192	236	205	232	210
SMPDL3B	10	7	10	13	22	9	28	19
SMPX	0	0	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0	0	0
SMS	845	604	556	552	684	481	833	718
SMTN	196	182	258	341	209	198	163	118
SMTNL1	0	0	0	0	0	0	0	0
SMTNL2	79	34	78	67	107	66	156	101
SMU1	1163	1295	1039	1055	1347	1111	1361	1271
SMUG1	816	663	570	683	784	606	753	604
SMURF1	950	720	709	898	974	767	980	699
SMURF2	1261	1298	1327	1439	1669	1303	1361	1295
SMYD1	0	0	0	0	0	3	1	1
SMYD2	463	363	412	396	489	339	444	372
SMYD3	425	275	317	393	411	312	273	244
SMYD4	391	380	402	392	329	298	320	256
SMYD5	751	496	415	498	559	422	537	386
SNAI1	10	3	53	36	42	44	23	17
SNAI2	3	11	15	14	31	29	4	5
SNAI3	3	0	4	5	11	2	4	5
SNAI3-AS1	104	75	128	146	161	114	129	79
SNAP23	622	634	469	542	546	516	493	511
SNAP25	1026	932	601	723	931	781	1233	1444
SNAP25-AS1	2	0	3	3	5	1	2	7
SNAP29	1195	1163	1093	1185	1263	977	1100	1071
SNAP47	1221	800	834	995	1137	908	1306	1007
SNAP91	0	0	0	0	0	0	0	0
SNAPC1	46	46	99	84	94	54	86	86
SNAPC2	50	31	19	46	44	35	71	49
SNAPC3	863	905	860	935	1021	861	905	715
SNAPC4	127	101	181	285	209	177	158	89
SNAPC5	215	151	170	157	168	165	154	163
SNAPIN	425	357	269	282	336	263	414	376
SNAR-A1	0	0	0	0	0	0	0	0
SNAR-A12	0	0	0	0	0	0	0	0
SNAR-A3	1	0	0	0	0	0	0	0
SNAR-B2	0	0	0	0	0	0	0	0
SNAR-C2	0	0	0	0	0	0	0	0
SNAR-C3	0	0	0	0	0	0	0	0
SNAR-C4	0	0	0	0	0	0	0	0
SNAR-D	3	6	11	6	8	1	2	3
SNAR-E	1	0	3	4	5	1	5	2
SNAR-F	0	1	1	0	0	0	0	0
SNAR-G1	98	70	74	44	102	82	39	63
SNAR-G2	3	2	1	1	6	4	0	1
SNAR-H	0	0	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0	0	0
SNCA	0	0	1	0	0	0	0	0
SNCA-AS1	0	0	0	0	0	0	0	0
SNCAIP	3	3	6	15	5	2	7	12
SNCB	1	9	4	9	12	8	54	49
SNCG	323	53	25	40	45	33	22	34
SND1	6158	3074	3683	4834	5192	4017	5117	3982
SND1-IT1	117	82	202	275	144	219	88	32
SNED1	86	47	185	227	209	196	201	144
SNF8	976	704	1175	1259	1239	894	1194	982
SNHG1	763	689	581	694	733	583	735	584
SNHG10	5638	3810	2266	3106	4936	3186	5775	5355
SNHG11	199	166	136	168	177	155	168	133
SNHG12	200	209	200	256	193	163	220	157
SNHG15	186	196	172	222	262	202	262	197
SNHG16	1599	1411	1503	1589	2072	1607	2039	1782
SNHG17	232	186	305	435	262	287	244	174
SNHG18	0	0	0	1	1	0	0	0
SNHG20	82	102	119	143	142	119	171	143
SNHG3	275	220	346	377	297	268	394	356
SNHG4	12	4	24	31	19	20	13	20
SNHG5	111	121	113	103	147	126	184	187
SNHG6	1521	1287	1053	1229	1585	1115	1569	1416
SNHG7	708	497	348	377	464	385	499	413
SNHG8	971	754	430	514	834	656	1042	899
SNHG9	34	28	28	33	30	30	10	14
SNIP1	449	452	348	410	407	401	411	390
SNN	297	251	761	943	1256	845	1002	841
SNORA10	1240	760	414	532	849	532	284	275
SNORA11	5423	3808	1960	2847	4795	2967	1437	1381
SNORA11B	99	187	135	121	161	95	33	45
SNORA11C	0	0	0	0	0	0	0	1
SNORA11D	1	0	1	1	0	0	1	0
SNORA12	2701	1756	1162	1061	1797	1072	1407	1346
SNORA13	8757	6094	3350	4457	8036	5244	3367	3579
SNORA14A	1463	935	603	699	1263	779	260	254
SNORA14B	23769	13726	12057	10737	17874	11404	1603	1438
SNORA15	39	45	25	35	36	30	2	4
SNORA16A	0	0	0	0	0	0	0	0
SNORA16B	6	10	9	7	4	5	11	3
SNORA17A	0	0	0	0	0	0	0	0
SNORA17B	0	0	0	0	0	0	0	0
SNORA18	762	463	262	395	598	354	57	69
SNORA19	566	483	494	354	585	323	158	189
SNORA20	6653	3684	2581	2800	5355	3052	1552	1357
SNORA21	5176	3722	1832	2497	4299	2405	1499	1397
SNORA22	4411	3227	2149	2020	3722	2482	2212	2384
SNORA23	4951	3601	2015	2079	3417	2130	3819	3677
SNORA24	6541	4080	1818	2650	4444	2528	1630	1599
SNORA26	8391	5329	3163	3702	6368	3896	1075	1188
SNORA27	2826	1897	1261	1170	1925	1115	836	797
SNORA28	7568	6529	3963	5003	6902	4592	1828	1889
SNORA29	18	10	34	38	24	16	12	9
SNORA2A	2682	2154	1166	1383	2351	1351	377	441
SNORA2B	729	578	317	413	703	435	203	242
SNORA2C	4066	2915	1424	2135	3199	1903	1168	909
SNORA30	222	187	130	152	199	106	20	18
SNORA31	6319	4221	2834	3280	4941	3198	1777	1700
SNORA33	24166	17830	11074	11023	17575	12029	2734	3055
SNORA35	0	0	0	0	0	0	0	0
SNORA36A	1970	1455	969	973	1723	1172	250	275
SNORA36B	1080	883	611	650	983	674	168	215
SNORA36C	107	78	73	65	74	68	22	26
SNORA37	2429	1412	617	985	1754	993	694	678
SNORA38	4991	3386	2356	2372	3204	1965	1434	1670
SNORA38B	2823	1898	1077	1402	2138	1323	955	905
SNORA3A	3893	2997	1918	2183	3638	2306	572	556
SNORA3B	3135	2334	1338	1870	2824	1728	805	848
SNORA4	0	0	0	0	0	0	0	0
SNORA40	937	519	401	455	652	477	96	118
SNORA41	1297	773	401	527	978	549	147	181
SNORA44	0	0	0	0	0	0	0	0
SNORA46	3652	2409	1494	1669	2814	1741	985	762
SNORA47	368	274	239	280	454	312	432	454
SNORA48	12366	7866	4128	5979	11279	6596	5352	4965
SNORA49	3304	2351	1203	1558	2681	1480	1428	1194
SNORA50A	3243	2588	1337	1247	2624	1472	1175	959
SNORA50C	5399	3110	1777	2083	3024	1790	353	274
SNORA51	3548	2758	1652	1992	3553	1995	709	658
SNORA52	7266	3242	1578	2512	4154	2482	2906	2182
SNORA53	24181	11178	5069	6289	12305	6995	13092	13691
SNORA54	2798	1715	797	1269	2832	1539	1376	927
SNORA55	2450	1834	1680	1573	2283	1483	173	152
SNORA56	109	98	74	60	81	56	13	16
SNORA57	4606	2591	1004	1682	3047	1722	2653	1975
SNORA58	1523	1063	711	775	1346	767	327	327
